Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position ","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Collection
loving-joy-anal-love-beads-black,"Loving Joy Anal Love Beads Black","The ideal addition to any toy box, these soft, flexible love beads are a sexual sensation.

Whether you're looking to feel fuller or to take your orgasms to a new level (pull out at the point of orgasm using the retrieval ring) these beads will leave you wanting more!

Also great for anal training, simply start off small and work your way to the top!","Loving Joy","Anal Beads",,TRUE,Title,"Loving Joy Anal Love Beads Black",,,,,N8440,119,shopify,82,deny,manual,7.99,7.99,TRUE,TRUE,5060211961113,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8440-loving_joy_anal_love_beads_black_1.jpg,1,"Loving Joy Anal Love Beads Black",FALSE,,,,,"Loving Joy Anal Love Beads Black","The ideal addition to any toy box, these soft, flexible love beads are a sexual sensation.

Whether you're looking to feel fuller or to take your orgasms to a new level (pull out at the point of orgasm using the retrieval ring) these beads will leave you wanting more!

Also great for anal training, simply start off small and work your way to the top!",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8440-loving_joy_anal_love_beads_black_1.jpg,kg,,2.80,"Anal Sex Toys"
loving-joy-anal-love-beads-purple,"Loving Joy Anal Love Beads Purple","The ideal addition to any toy box, these soft, flexible love beads are a sexual sensation.

Whether you're looking to feel fuller or to take your orgasms to a new level (pull out at the point of orgasm using the retrieval ring) these beads will leave you wanting more!

Also great for anal training, simply start off small and work your way to the top!","Loving Joy","Anal Beads",,TRUE,Title,"Loving Joy Anal Love Beads Purple",,,,,N8442,119,shopify,102,deny,manual,7.99,7.99,TRUE,TRUE,5060211961267,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8442-loving_joy_anal_love_beads_purple_1.jpg,1,"Loving Joy Anal Love Beads Purple",FALSE,,,,,"Loving Joy Anal Love Beads Purple","The ideal addition to any toy box, these soft, flexible love beads are a sexual sensation.

Whether you're looking to feel fuller or to take your orgasms to a new level (pull out at the point of orgasm using the retrieval ring) these beads will leave you wanting more!

Also great for anal training, simply start off small and work your way to the top!",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8442-loving_joy_anal_love_beads_purple_1.jpg,kg,,2.80,"Anal Sex Toys"
loving-joy-finger-fun-pink,"Loving Joy Finger Fun Small Butt Plug Pink","Get yourself some Finger Fun from Loving Joy!

A great toy if you're new to anal play or to warm up before anal sex.

This small jelly plug is small and smooth with a ring at the base for you to insert your finger to give control when you need it.

Team up with anal lube for sumptuous sensations.","Loving Joy","Butt Plugs",,TRUE,Title,"Loving Joy Finger Fun Small Butt Plug Pink",,,,,NS3442,32,shopify,118,deny,manual,5.49,5.49,TRUE,TRUE,5060211960154,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/ns3442-finger_fun_1_1.jpg,1,"Loving Joy Finger Fun Small Butt Plug Pink",FALSE,,,,,"Loving Joy Finger Fun Small Butt Plug Pink","Get yourself some Finger Fun from Loving Joy!

A great toy if you're new to anal play or to warm up before anal sex.

This small jelly plug is small and smooth with a ring at the base for you to insert your finger to give control when you need it.

Team up with anal lube for sumptuous sensations.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/ns3442-finger_fun_1_1.jpg,kg,,1.67,"Anal Sex Toys"
anal-blu-1-5-oz,"Anal Blu 1.5 oz","No more pain with Anal Blu - just apply to the anal area prior to anal sex and get a lubricated desensitising effect.

Non staining.",Nasstoys,Lubricant,,TRUE,Title,"Anal Blu 1.5 oz",,,,,N7988,68,shopify,0,deny,manual,14.99,14.99,TRUE,TRUE,782631031324,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n7988-anal_blu_1_5_oz_1-1.jpg,1,"Anal Blu 1.5 oz",FALSE,,,,,"Anal Blu 1.5 oz","No more pain with Anal Blu - just apply to the anal area prior to anal sex and get a lubricated desensitising effect.

Non staining.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n7988-anal_blu_1_5_oz_1-1.jpg,kg,,6.38,Essentials
loving-joy-slide-lubricant-50ml,"Loving Joy Slide Water Based Lubricant 50ml","Perfect for when natural lubrication just isn't enough. Enjoy super, slippery, slidy play with this non-staining, paraben free, water based lubricant. Safe for use with condoms. Only a small amount needed for a more enhanced sexual experience.

Product features:
<ul>
     <li>Intimate lubricant for penile and vaginal application</li>
     <li>Designed to enhance sexual activity</li>
     <li>Water-based</li>
     <li>Aloe infused</li>
     <li>Vegan friendly</li>
     <li>Sex toy and condom safe</li>
     <li>pH neutral</li>
</ul>
We believe in the power of nature to enhance your intimate moments. That is why we have carefully selected natural, plant-based ingredients for our lubricants, ensuring a safe and pleasurable experience. Here is a close look at what goes into our lubes:

Glycerin (Plant-Based) - Derived from plants, glycerin acts as a powerful moisturizer. It helps keep your intimate areas hydrated, ensuring a smooth and comfortable experience every time.

Plant Cellulose (Cotton) - Our lubricants contain plant cellulose which naturally increases viscosity. This means you get a thicker, more luxurious feel that lasts longer, enhancing your intimate moments.

Aloe Extract - Known for its soothing properties, aloe extract not only moisturizes but also helps reduce inflammation and combat bacteria. Enjoy peace of mind knowing that your lubricant is gentle and protective on sensitive skin.

Forsythia Extract- Forsythia extract brings anti-inflammatory and antioxidant properties to our formula. This means that our lubricants not only feel great but also help soothe and protect your skin, contributing to overall intimate wellness.

Pepper Extract - We prioritize your health by using plant-based preservatives like pepper extract. Unlike other brands that rely on chemical preservatives, our natural choice ensures that you get a safe, irritation-free experience without any unwanted effects.

Ingredients: Purified water, Glycerin (Plant), Plant cellulose (Cotton), Aloe extract, Pepper extract, Forsythia extract.

Features:
<ul>
     <li>Easy to use squeeze dispenser</li>
     <li>Waterbased Lubricant</li>
     <li>Paraben free</li>
     <li>Safe to use with sex toys and condoms</li>
</ul>","Loving Joy Lubricants",Lubricant,,TRUE,Title,"Loving Joy Slide Water Based Lubricant 50ml",,,,,N6659,65,shopify,1480,deny,manual,3.99,3.99,TRUE,TRUE,5060211961298,https://www.1on1wholesale.eu/wp-content/uploads/2014/05/N6659-loving-joy-slide-lubricant-50ml-render-1.jpg,1,"Loving Joy Slide Water Based Lubricant 50ml",FALSE,,,,,"Loving Joy Slide Water Based Lubricant 50ml","Perfect for when natural lubrication just isn't enough. Enjoy super, slippery, slidy play with this non-staining, paraben free, water based lubricant. Safe for use with condoms. Only a small amount needed for a more enhanced sexual experience.

Product features:
<ul>
     <li>Intimate lubricant for penile and vaginal application</li>
     <li>Designed to enhance sexual activity</li>
     <li>Water-based</li>
     <li>Aloe infused</li>
     <li>Vegan friendly</li>
     <li>Sex toy and condom safe</li>
     <li>pH neutral</li>
</ul>
We believe in the power of nature to enhance your intimate moments. That is why we have carefully selected natural, plant-based ingredients for our lubricants, ensuring a safe and pleasurable experience. Here is a close look at what goes into our lubes:

Glycerin (Plant-Based) - Derived from plants, glycerin acts as a powerful moisturizer. It helps keep your intimate areas hydrated, ensuring a smooth and comfortable experience every time.

Plant Cellulose (Cotton) - Our lubricants contain plant cellulose which naturally increases viscosity. This means you get a thicker, more luxurious feel that lasts longer, enhancing your intimate moments.

Aloe Extract - Known for its soothing properties, aloe extract not only moisturizes but also helps reduce inflammation and combat bacteria. Enjoy peace of mind knowing that your lubricant is gentle and protective on sensitive skin.

Forsythia Extract- Forsythia extract brings anti-inflammatory and antioxidant properties to our formula. This means that our lubricants not only feel great but also help soothe and protect your skin, contributing to overall intimate wellness.

Pepper Extract - We prioritize your health by using plant-based preservatives like pepper extract. Unlike other brands that rely on chemical preservatives, our natural choice ensures that you get a safe, irritation-free experience without any unwanted effects.

Ingredients: Purified water, Glycerin (Plant), Plant cellulose (Cotton), Aloe extract, Pepper extract, Forsythia extract.

Features:
<ul>
     <li>Easy to use squeeze dispenser</li>
     <li>Waterbased Lubricant</li>
     <li>Paraben free</li>
     <li>Safe to use with sex toys and condoms</li>
</ul>",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2014/05/N6659-loving-joy-slide-lubricant-50ml-render-1.jpg,kg,,1.00,Essentials
anal-blu,"Anal Blu","Anal Blu from Nasstoys truly is a lovers' best friend!

Although it is no substitute for care and lots of lubrication, Anal blu is the best anal desensitisation gel available - just rub a pea sized amount around the anus prior to penetration to stop pain in its tracks.",Nasstoys,Lubricant,,TRUE,Title,"Anal Blu",,,,,N4372,28,shopify,0,deny,manual,11.99,11.99,TRUE,TRUE,782631031317,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n4372-anal_blu-1-1.jpg,1,"Anal Blu",FALSE,,,,,"Anal Blu","Anal Blu from Nasstoys truly is a lovers' best friend!

Although it is no substitute for care and lots of lubrication, Anal blu is the best anal desensitisation gel available - just rub a pea sized amount around the anus prior to penetration to stop pain in its tracks.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n4372-anal_blu-1-1.jpg,kg,,4.91,Essentials
anal-ese-desensitising-cream,"Anal-Ese Desensitising Cream","If you're raring to try out anal sex, but are understandably a little nervous about whether or not it will hurt, then this cherry flavoured numbing gel is for you!

Apply a pea-sized amount to the area a few minutes before you start, use plenty of lube, and you'll have one of the most pleasant experiences ever!

Bear in mind that you will still need to be gentle and use lots of lube if you're a beginner!",Nasstoys,Lubricant,,TRUE,Title,"Anal-Ese Desensitising Cream",,,,,N1549,28,shopify,0,deny,manual,10.99,10.99,TRUE,TRUE,782631300109,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n1549-anal-ese_desensitising_cream-1.jpg,1,"Anal-Ese Desensitising Cream",FALSE,,,,,"Anal-Ese Desensitising Cream","If you're raring to try out anal sex, but are understandably a little nervous about whether or not it will hurt, then this cherry flavoured numbing gel is for you!

Apply a pea-sized amount to the area a few minutes before you start, use plenty of lube, and you'll have one of the most pleasant experiences ever!

Bear in mind that you will still need to be gentle and use lots of lube if you're a beginner!",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n1549-anal-ese_desensitising_cream-1.jpg,kg,,4.3,Essentials
doc-johnson-golden-girl-anal-jelly,"Doc Johnson Golden Girl Anal Jelly","Another great product from Doc Johnson of Hollywood, this no-nonsense jelly protects and lubricates with the best, and can be used safely for any sex games, although it is particularly designed for anal play.

Non-sticky and non-perfumed and so highly unlikely to cause irritation, this petroleum jelly based lube contains an agents which slightly desensitised the area it is applied to, ideal for helping you relax and enjoy!

Comes in a generous 2oz tub for many, many applications.","Doc Johnson",Lubricant,,TRUE,Title,"Doc Johnson Golden Girl Anal Jelly",,,,,N0858,81,shopify,0,deny,manual,12.99,12.99,TRUE,TRUE,782421179601,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n0858-golden-girl-anal-jelly-1.jpg,1,"Doc Johnson Golden Girl Anal Jelly",FALSE,,,,,"Doc Johnson Golden Girl Anal Jelly","Another great product from Doc Johnson of Hollywood, this no-nonsense jelly protects and lubricates with the best, and can be used safely for any sex games, although it is particularly designed for anal play.

Non-sticky and non-perfumed and so highly unlikely to cause irritation, this petroleum jelly based lube contains an agents which slightly desensitised the area it is applied to, ideal for helping you relax and enjoy!

Comes in a generous 2oz tub for many, many applications.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2025/04/n0858-golden-girl-anal-jelly-1.jpg,kg,,4.90,Essentials
bound-to-please-bondage-rope-red,"Bound to Please Bondage Rope Red","Tie up your lover with this soft bondage rope from Bound to Please.

Perfect to practise Shibari with or restrain your lover, you can tie up without causing stress to your lovers skin.

10 metres in length.","Bound to Please","Bondage Restraints",,TRUE,Title,"Bound to Please Bondage Rope Red",,,,,N8389,188,shopify,52,deny,manual,13.99,13.99,TRUE,TRUE,5060211961038,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8389-bound-to-please-bondage-rope-red-1_1.jpg,1,"Bound to Please Bondage Rope Red",FALSE,,,,,"Bound to Please Bondage Rope Red","Tie up your lover with this soft bondage rope from Bound to Please.

Perfect to practise Shibari with or restrain your lover, you can tie up without causing stress to your lovers skin.

10 metres in length.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8389-bound-to-please-bondage-rope-red-1_1.jpg,kg,,5.85,"Bondage Gear"
bound-to-please-bondage-rope-black,"Bound to Please Bondage Rope Black","This Bondage Rope from Bound to Please is a sturdy restraint that won't harm the skin.

Perfect for practising Shibari, knot tying or to restrain your lover, this bondage rope is very versatile.

It's durable and soft and great for beginner's and the intermediate.","Bound to Please","Bondage Restraints",,TRUE,Title,"Bound to Please Bondage Rope Black",,,,,N8390,188,shopify,190,deny,manual,13.99,13.99,TRUE,TRUE,5060211961250,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8390-bound-to-please-bondage-rope-black-1_2.jpg,1,"Bound to Please Bondage Rope Black",FALSE,,,,,"Bound to Please Bondage Rope Black","This Bondage Rope from Bound to Please is a sturdy restraint that won't harm the skin.

Perfect for practising Shibari, knot tying or to restrain your lover, this bondage rope is very versatile.

It's durable and soft and great for beginner's and the intermediate.",,,,,,,,,,https://www.1on1wholesale.eu/wp-content/uploads/2023/11/n8390-bound-to-please-bondage-rope-black-1_2.jpg,kg,,5.85,"Bondage Gear"
