SKU,Stock,StockLevel,Price
N8481,Discontinued,0,11
N8440,"In Stock",82,2.80
N8442,"In Stock",102,2.80
NS3442,"In Stock",118,1.67
N4378,Discontinued,0,16.98
N7988,"Out Stock",0,6.38
N6829,Discontinued,0,4.21
N6659,"In Stock",1480,1.00
N4372,"Out Stock",0,4.91
N1549,"Out Stock",0,4.3
N0858,"Out Stock",0,4.90
N8389,"In Stock",52,5.85
N8390,"In Stock",190,5.85
N8391,"In Stock",99,5.85
N9080,"In Stock",58,8.87
N8238,"In Stock",36,2.52
N7893,"Out Stock",0,7.04
NS0815,Discontinued,0,7.8
NS0816,Discontinued,0,10.68
NS0813,Discontinued,0,7.8
NS0814,Discontinued,0,8.31
N0982,Discontinued,0,4.46
N0981,Discontinued,0,2.53
N0975,Discontinued,0,4.46
N0974,Discontinued,0,2.53
N0972,Discontinued,0,3.05
N9079,"Out Stock",0,7.21
N8590,"In Stock",94,7.21
N8048,"Out Stock",0,4.57
N7894,Discontinued,0,5.20
NS0817,Discontinued,0,7.8
NS0818,Discontinued,0,10.68
N8964,Discontinued,0.000000,8.96
N8966,Discontinued,0,5.49
N8591,"Out Stock",0,7.21
N8254,"In Stock",53,6.27
N8255,"In Stock",9,6.27
N8049,Discontinued,0,4.57
N8050,Discontinued,0,4.57
N0973,Discontinued,0,3.05
N8333,Discontinued,0,2.6
N2238,"Out Stock",0,7.66
N2284,Discontinued,0,8.22
N7985,Discontinued,0,18.48
N6128,Discontinued,0,8
N8968,"In Stock",36,5.88
N8969,"In Stock",47,5.88
N4920,Discontinued,0,11.16
N7519,"In Stock",1,17.02
N6522,Discontinued,0,17.02
N6684,Discontinued,0,14.67
N6134,Discontinued,0,8
N6123,Discontinued,0,11.16
N6133,"In Stock",36,17.02
N10957,"Out Stock",0,9.00
N6140,Discontinued,0,3
N8970,Discontinued,0,2.80
N9591,Discontinued,0.000000,9.08
N9584,Discontinued,0,3.45
N9583,Discontinued,0,4.31
N9580,Discontinued,0,6.27
N9579,Discontinued,0,9.66
N9573,Discontinued,0.000000,14.65
N9571,Discontinued,0,14.68
N9570,Discontinued,0,9.08
N9569,Discontinued,0,14.7
N9567,Discontinued,0,16.96
N9565,Discontinued,0,7.72
N9563,Discontinued,0,9.45
N9562,Discontinued,0,15.75
N9561,Discontinued,0.000000,8.3
N9560,Discontinued,0.000000,7.51
N9558,Discontinued,0,8.3
N9557,Discontinued,0,7.88
